title,institution,place,description,source_number,source_url,image_url,lat,lon,license,author,date
"Bergens Handelsgymnasium (Kalfarv. 2, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0241.jpg,URN:NBN:no-RAKV_arkiv_C57B950D6E00469C 9CE91F92290AB09F,http://www.knreise.no/img/riksantikvaren/T248_02_0241.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Bergens Handelsgymnasium (Kalfarv. 2, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,"318. Eneret Mittet & Co., Kristiania",T248_02_0242.jpg,URN:NBN:no-RAKV_arkiv_D333268E8617470E BBD5B81E24475269,http://www.knreise.no/img/riksantikvaren/T248_02_0242.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Nordnes (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0246.jpg,URN:NBN:no-RAKV_arkiv_1C6A095AF4D94905 B794C0DC120DA917,http://www.knreise.no/img/riksantikvaren/T248_02_0246.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Bryggen (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0249.jpg,URN:NBN:no-RAKV_arkiv_BF6AFF90934148D3 B4FDB360641FE26E,http://www.knreise.no/img/riksantikvaren/T248_02_0249.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Bryggen (Bergen),Riksantikvaren,Bergen,Oversikt før brannen i 1955,T248_02_0250.jpg,URN:NBN:no-RAKV_arkiv_45034BC8EDD14557 8E0EC0A93CFDE6FA,http://www.knreise.no/img/riksantikvaren/T248_02_0250.jpg,,,http://creativecommons.org/licenses/by/4.0/,Universitetsbiblioteket i Bergen,Ukjent dato
Bryggen (Bergen),Universitets Biblioteket i Bergen,Bergen,Knud Knudsen,T248_02_0250_682418_004.jpg,URN:NBN:no-RAKV_arkiv_A29E63912D524A29 B1052FC713D67AB1,http://www.knreise.no/img/riksantikvaren/T248_02_0250_682418_004.jpg,,,http://creativecommons.org/licenses/by/4.0/,Knud Knudsen,Ukjent dato
Holbergsalmenningen (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0252.jpg,URN:NBN:no-RAKV_arkiv_0540DF908A404AD4 A0A353FF7B6BBCF1,http://www.knreise.no/img/riksantikvaren/T248_02_0252.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Fløirestauranten, Fløien (Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0255.jpg,URN:NBN:no-RAKV_arkiv_22D0FDA698B7410B 86972EC70C093174,http://www.knreise.no/img/riksantikvaren/T248_02_0255.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Fløirestauranten, Fløien (Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0256.jpg,URN:NBN:no-RAKV_arkiv_D721F32EBEBA40E8 8E43C2CDEA1C3FAC,http://www.knreise.no/img/riksantikvaren/T248_02_0256.jpg,,,http://creativecommons.org/licenses/by/4.0/,Eberhard B. Oppi,Ukjent dato
"Fløirestauranten, Fløien (Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0257.jpg,URN:NBN:no-RAKV_arkiv_5B95B8306E71406A A071BB5026AA39CF,http://www.knreise.no/img/riksantikvaren/T248_02_0257.jpg,,,http://creativecommons.org/licenses/by/4.0/,Eberhard B. Oppi,Ukjent dato
